Polluted element,Type of pollution,Maryland_Aberdeen_2016,Maryland_Columbia_2020,Maryland_Port Huron_2019,Michigan_Baltimore_2019,Michigan_Detroit_2016
Air,Industrial,28.26,62.65,-25.45,-85.66,75.92
,Oxygen-depletion,-46.06,58.81,34.11,42.97,-55.85
,Solid Waste,22.77,59.45,-31.65,41.00,69.07
,Thermal,63.01,56.11,-38.57,36.95,70.02
Soil,Groundwater,18.42,59.23,36.77,-93.36,11.26
,Inferior Irrigation,31.48,-65.64,-21.08,33.07,73.81
,Inorganic Fertilizers,26.05,60.54,99.17,-91.09,75.02
,Noise,22.99,-72.32,-36.50,41.07,69.91
Water,Chemical,17.63,-73.04,-40.57,39.56,-58.21
,Light,22.02,-70.06,93.00,-86.31,-55.99
,Surface water,16.57,-6.19,32.58,41.56,8.36
,Urban Activities,26.92,-67.47,-27.51,45.58,-57.34
