Polluted element,Type of pollution,California_Baltimore_2015,California_Los-Angeles_2015,Maryland_Aberdeen_2022,Maryland_Berkeley_2022,Maryland_Columbia_2022
Air,Industrial,-95.06,80.69,4.77,98.73,60.80
,Inorganic Fertilizers,38.10,78.75,7.41,-28.47,-62.11
,Oxygen-depletion,-77.17,-9.55,21.08,-13.94,-52.19
,Solid Waste,-70.99,-31.30,-97.11,-6.40,-49.99
,Thermal,44.71,-41.69,13.36,-20.68,-58.11
Soil,Groundwater,50.35,-38.93,17.62,-18.12,75.78
,Light,-87.34,-41.55,78.44,-23.12,-60.01
,Oxygen-depletion,33.13,78.78,3.43,-29.29,59.30
,Solid Waste,-92.48,84.47,5.10,-26.04,-63.82
,Urban Activities,-73.71,96.13,29.69,-8.51,-50.51
Water,Groundwater,-96.94,-49.68,1.17,98.28,58.72
,Industrial,-74.10,-34.98,29.81,-9.11,77.45
,Inferior Irrigation,38.87,-42.90,9.38,-24.75,68.50
,Noise,48.96,89.83,17.82,-18.00,74.35
,Urban Activities,-93.35,-47.84,5.75,-27.77,-66.03
Average,,-33.80,11.35,9.85,-3.81,0.81
