Polluted element,Type of pollution,Georgia_Baltimore_2021,Georgia_Columbus_2022,Georgia_Washington_2015,Maryland_Aberdeen_2015,Maryland_Albany_2021
Air,Groundwater,47.39,-65.44,19.33,81.93,-20.54
,Industrial,-29.07,-68.68,19.28,-43.08,-89.71
,Thermal,-14.16,-63.75,24.60,87.32,-78.30
Soil,Chemical,-18.66,62.36,13.57,13.51,-21.77
,Inorganic Fertilizers,99.64,-72.57,16.45,73.49,-92.77
,Light,99.38,60.18,23.39,88.39,48.33
Water,Oxygen-depletion,-31.29,-72.66,15.78,73.16,-94.35
,Solid Waste,99.49,60.07,23.33,-41.23,-87.12
,Surface water,-20.23,-67.90,13.00,77.37,-22.12
Average,,25.83,-25.38,18.75,45.65,-50.93
