Polluted element,Type of pollution,Michigan_Detroit_2021,Michigan_Hastings_2017,Minnesota_Flint_2017,Minnesota_Minneapolis_2017,Minnesota_Redmond_2021,Oregon_Rochester_2021,Oregon_Salem_2017,Average
Air,Groundwater,-44.15,80.93,-4.20,25.02,-78.95,57.23,-65.12,-4.18
,Industrial,-51.84,78.20,-9.46,23.20,-84.20,51.99,-65.02,-8.16
,Inorganic Fertilizers,-55.24,74.46,-31.79,17.22,-4.90,45.33,-68.91,-3.40
,Light,-60.07,71.99,-33.66,5.28,91.86,32.69,-73.88,4.89
Soil,Light,-42.83,83.34,-2.68,28.38,-75.46,59.06,-60.60,-1.54
,Noise,-60.49,72.29,-32.60,9.51,98.40,37.70,-72.10,7.53
,Solid Waste,-53.78,76.44,-15.98,20.20,-97.80,47.62,-69.43,-13.25
,Surface water,-55.08,78.13,-8.17,22.50,-84.91,56.32,-65.90,-8.16
Water,Inferior Irrigation,-52.11,78.53,-12.42,22.17,-86.72,48.11,-66.79,-9.89
,Noise,-39.28,85.56,-1.63,30.68,-74.21,57.54,-59.81,-0.16
,Oxygen-depletion,-46.47,80.46,-5.10,25.99,-79.84,56.67,-63.46,-4.54
,Thermal,-55.75,72.42,-31.51,13.41,99.12,43.51,-69.51,10.24
