Polluted element,Type of pollution,California_Boulder City_2020,California_Detroit_2016,California_Los-Angeles_2017,Michigan_Las Vegas_2022,Michigan_Port Huron_2017,Michigan_San Francisco_2020,Nevada_Berkeley_2016,Nevada_Flint_2022,Nevada_Reno_2017,Average
Air,Inferior Irrigation,37.25,-35.58,-96.58,59.65,-13.39,-80.04,75.00,-58.08,17.89,-10.43
,Inorganic Fertilizers,39.35,-31.22,-89.60,63.17,-10.45,-72.30,77.84,-55.49,18.31,-6.71
,Noise,48.12,-23.99,-87.61,65.48,-7.57,-68.03,78.84,-46.29,23.60,-1.94
,Thermal,27.32,-41.21,81.41,52.44,-20.46,-79.03,67.49,-65.61,3.07,2.82
,Urban Activities,31.74,-38.42,88.98,59.88,-16.43,-78.48,73.68,-63.75,12.65,7.76
Soil,Industrial,31.58,-37.52,95.65,59.58,-17.55,-76.59,73.16,-61.80,13.69,8.91
,Noise,29.48,-39.58,86.00,51.61,-17.20,-78.96,69.80,-64.78,9.41,5.09
,Solid Waste,38.12,-33.84,-91.21,60.56,-11.12,-80.96,75.68,-56.73,18.81,-8.97
,Thermal,43.45,-28.37,-89.01,60.99,-9.64,-69.52,78.04,-48.47,20.84,-4.63
,Urban Activities,51.98,-23.69,-80.50,60.48,-4.39,-66.86,78.46,-42.06,24.56,-0.22
