Polluted element,Type of pollution,Illinois_Champaign,Illinois_Minneapolis,Illinois_Springfield,Minnesota_Chicago,Minnesota_Hastings,Minnesota_Rochester
Air,,-7.33,59.86,17.08,-71.14,0.22,-16.36
,  Inorganic Fertilizers,54.04,-38.60,6.82,-91.25,-49.78,-21.13
,  Noise,-71.26,91.28,21.23,-84.25,81.02,-17.23
,  Solid Waste,56.69,92.53,16.80,-25.64,15.42,-13.52
,  Thermal,-68.79,94.23,23.46,-83.41,-45.77,-13.55
Soil,,6.94,-7.54,16.44,-8.66,31.82,-18.55
,  Industrial,-73.33,-37.51,21.64,-86.82,-47.12,-17.83
,  Inferior Irrigation,51.99,-39.43,6.22,34.87,78.66,-22.70
,  Light,59.20,-39.50,23.18,44.00,83.01,-15.45
,  Urban Activities,-10.11,86.28,14.71,-26.69,12.74,-18.23
