Polluted element,Type of pollution,Minnesota_Boulder City,Minnesota_Minneapolis,Nevada_Hastings,Nevada_Las Vegas
Air,,29.87,16.40,-52.76,48.36
,  Noise,-56.03,18.33,-75.70,90.07
,  Oxygen-depletion,67.59,3.44,-82.68,82.44
,  Urban Activities,78.06,27.44,0.09,-27.43
Soil,,32.07,-21.34,-28.88,-30.54
,  Groundwater,79.85,-95.25,-61.08,-12.56
,  Light,-53.03,23.11,-72.70,-34.18
,  Surface water,69.40,8.11,47.14,-44.88
Water,,29.01,12.29,5.47,1.72
,  Groundwater,-61.84,0.20,37.98,-50.03
,  Inorganic Fertilizers,76.33,23.22,-68.04,96.81
,  Thermal,72.54,13.46,46.47,-41.63
