Polluted element,Type of pollution,California_Columbia,California_Minneapolis,California_San Francisco,Maryland_Aberdeen,Maryland_Rochester,Minnesota_Berkeley,Minnesota_Hastings
Air,,-26.25,93.47,21.49,-49.44,71.47,47.25,-81.57
,  Inorganic Fertilizers,-24.92,94.07,28.67,-46.57,72.31,50.47,-78.00
,  Noise,-31.11,91.28,17.50,-49.20,68.55,44.75,-84.58
,  Oxygen-depletion,-22.73,95.05,18.30,-52.56,73.56,46.52,-82.13
Soil,,-21.45,94.81,23.80,-48.05,75.00,48.37,-78.57
,  Groundwater,-20.69,95.42,22.85,-46.71,75.22,47.14,-77.23
,  Industrial,-27.59,89.10,18.73,-50.95,70.22,46.63,-84.81
,  Urban Activities,-16.08,99.91,29.81,-46.49,79.56,51.33,-73.66
Water,,-29.03,93.18,17.11,-49.33,69.41,44.09,-84.78
,  Chemical,-26.48,93.36,14.76,-50.57,70.86,44.34,-84.73
,  Inferior Irrigation,-24.93,94.75,21.84,-47.43,72.69,47.20,-82.46
,  Thermal,-35.67,91.44,14.72,-50.00,64.67,40.72,-87.16
