Polluted element,Type of pollution,Florida_Salem,Florida_Washington,Georgia_Columbus,Georgia_Tampa,Oregon_Fort Lauderdale,Oregon_Portland
Air,,-25.78,-14.54,-14.06,-44.39,-7.96,16.65
,  Light,-92.88,-39.41,-15.28,-66.74,77.54,13.74
,  Oxygen-depletion,41.08,-32.03,-10.94,-66.84,-48.30,20.98
,  Urban Activities,-25.55,27.82,-15.97,0.42,-53.12,15.23
Soil,,-48.83,4.94,28.03,17.06,34.70,13.68
,  Groundwater,-88.44,-37.36,-11.40,-64.56,79.41,18.76
,  Inferior Irrigation,-92.12,92.41,22.70,54.63,77.50,10.35
,  Noise,34.08,-40.24,72.80,61.10,-52.82,11.94
Water,,-67.35,70.85,-12.44,-20.71,14.74,17.66
,  Chemical,-88.64,97.80,-9.97,-62.15,-48.50,21.92
,  Solid Waste,-23.83,27.58,-12.66,66.71,13.94,17.82
,  Surface water,-89.58,87.18,-14.70,-66.69,78.77,13.25
