Polluted element,Type of pollution,Florida_Fort Lauderdale,Florida_Reno,Florida_Salem,Nevada_Boulder City,Nevada_Tampa,Oregon_Las Vegas,Oregon_Redmond
Air,,10.48,-46.22,-20.62,-63.33,35.49,71.89,-35.61
,  Industrial,11.53,-92.91,-18.60,-59.42,37.94,77.68,-32.20
,  Inorganic Fertilizers,11.74,-99.09,-26.20,-70.75,29.11,63.88,-35.28
,  Noise,-0.95,94.66,-26.79,-77.74,25.65,57.74,-42.88
,  Surface water,19.59,-87.54,-10.90,-45.40,49.28,88.24,-32.07
Soil,,14.13,-45.43,-20.16,-59.66,38.57,74.79,-34.95
,  Chemical,15.70,-92.44,-13.71,-53.59,40.93,78.48,-32.17
,  Noise,20.94,-83.93,-10.18,-44.09,54.90,92.22,-32.12
,  Solid Waste,11.01,-97.84,-21.78,-63.80,31.25,68.64,-34.73
,  Thermal,8.89,92.50,-34.99,-77.14,27.21,59.82,-40.80
Water,,15.36,-43.27,-16.40,-55.60,41.96,76.89,-32.92
,  Inferior Irrigation,12.32,-94.19,-19.28,-59.69,34.84,71.14,-34.74
,  Light,9.72,95.97,-30.66,-70.05,27.41,62.03,-38.27
,  Oxygen-depletion,17.97,-91.38,-11.33,-50.50,49.71,81.80,-31.34
,  Thermal,21.41,-83.49,-4.32,-42.17,55.87,92.59,-27.32
