Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Detroit,Massachusetts_Lenox,Michigan_Cambridge,Michigan_Flint,Michigan_Port Huron
Average,,-10.61,80.21,13.49,-46.71,35.88,-4.34
,  ,-10.61,80.21,13.49,-46.71,35.88,-4.34
Air,,-22.63,52.12,16.46,-44.85,-5.13,-16.58
,  Groundwater,-72.50,-36.97,5.27,-95.47,75.39,-23.13
,  Noise,-63.55,96.87,16.20,40.82,-48.54,-12.79
,  Surface water,68.17,96.45,27.91,-79.89,-42.23,-13.83
Soil,,-24.59,94.95,13.27,-89.58,78.89,23.91
,  Oxygen-depletion,-74.10,91.43,2.28,-94.08,75.73,95.70
,  Solid Waste,63.30,95.05,10.14,-89.58,78.86,-13.75
,  Thermal,-62.96,98.37,27.40,-85.09,82.07,-10.23
Water,,15.40,93.58,10.74,-5.70,33.88,-20.34
,  Inferior Irrigation,59.52,92.51,9.31,-91.65,77.16,-17.74
,  Light,-63.93,97.40,20.55,41.36,-47.25,-13.24
,  Surface water,50.60,90.82,2.35,33.20,71.72,-30.05
