Polluted element,Type of pollution,Illinois_Detroit,Illinois_Springfield,Michigan_Champaign,Michigan_Chicago,Michigan_Port Huron,Average
Air,,30.54,-36.33,7.84,-11.64,-3.93,-2.70
,  Groundwater,51.21,-36.32,70.39,-13.06,9.47,16.34
,  Noise,-13.56,-36.98,6.61,-10.91,-47.87,-20.54
,  Solid Waste,53.96,-35.70,-53.48,-10.96,26.62,-3.91
Soil,,-10.48,-0.80,10.47,-9.10,-15.69,-5.12
,  Inferior Irrigation,51.61,-7.00,75.41,-13.61,25.84,26.45
,  Inorganic Fertilizers,-72.71,-29.50,-53.29,-5.57,-96.31,-51.48
,  Light,-10.33,34.11,9.28,-8.12,23.39,9.66
Water,,-75.77,-34.93,31.48,-10.04,24.72,-12.91
,  Industrial,-73.94,-34.35,-51.78,-7.07,29.00,-27.63
,  Oxygen-depletion,-77.49,-36.76,74.58,-12.48,23.33,-5.76
,  Thermal,-75.88,-33.69,71.64,-10.55,21.84,-5.33
Average,,-18.57,-24.02,16.59,-10.26,1.70,-6.91
,  ,-18.57,-24.02,16.59,-10.26,1.70,-6.91
