Polluted element,Type of pollution,Georgia_Columbus,Georgia_Detroit,Georgia_Springfield,Illinois_Chicago,Illinois_Flint,Michigan_Champaign,Michigan_Port Huron,Michigan_Washington,Average
Air,,-64.82,40.20,-8.29,-57.48,55.83,-30.85,17.68,83.95,4.53
,  Inorganic Fertilizers,-78.51,48.71,-1.27,-47.24,63.38,-18.67,26.20,97.85,11.31
,  Noise,-85.67,44.50,-6.10,-53.26,59.08,-25.94,22.54,93.68,6.10
,  Oxygen-depletion,-94.72,41.56,-10.86,-62.36,48.79,-37.80,14.91,74.77,-3.21
,  Urban Activities,-0.39,26.02,-14.95,-67.05,52.07,-41.01,7.06,69.49,3.90
Soil,,-20.96,36.44,-11.64,-62.00,55.40,-35.59,13.07,56.23,3.87
,  Groundwater,-90.74,42.87,-10.00,-57.52,58.08,-32.97,15.76,-3.10,-9.70
,  Industrial,99.52,25.05,-17.08,-72.28,48.53,-47.80,3.41,63.34,12.84
,  Surface water,-7.69,30.97,-13.62,-66.31,53.74,-37.52,10.07,71.03,5.08
,  Thermal,-84.95,46.86,-5.85,-51.90,61.26,-24.08,23.05,93.67,7.26
Water,,-66.44,38.47,-10.05,-59.89,55.84,-27.45,16.60,80.91,3.50
,  Chemical,-94.81,34.85,-14.24,-63.09,54.96,-37.27,13.92,73.68,-4.00
,  Industrial,-82.30,48.14,-3.13,-52.72,59.77,-1.18,25.31,94.29,11.02
,  Inorganic Fertilizers,-0.08,28.27,-15.54,-70.35,49.18,-44.21,7.22,65.17,2.46
,  Light,-88.56,42.61,-7.30,-53.42,59.47,-27.12,19.94,90.51,4.52
Average,,-50.74,38.37,-9.99,-59.79,55.69,-31.30,15.78,73.70,3.96
,  ,-50.74,38.37,-9.99,-59.79,55.69,-31.30,15.78,73.70,3.96
