Polluted element,Type of pollution,Georgia_Minneapolis,Georgia_Redmond,Minnesota_Albany,Minnesota_Portland,Minnesota_Rochester,Oregon_Columbus,Oregon_Hastings,Oregon_Salem
Air,,-56.88,-17.53,58.37,-13.16,6.45,-26.91,-7.89,37.09
,  Inorganic Fertilizers,-86.72,77.26,91.93,51.43,8.12,-28.65,25.58,72.23
,  Light,-95.04,-51.93,87.27,-82.19,1.13,-36.15,20.26,62.63
,  Noise,41.28,-51.29,-39.45,49.23,4.86,-31.12,20.38,-61.15
,  Urban Activities,-87.03,-44.18,93.72,-71.12,11.68,-11.70,-97.80,74.65
Soil,,-54.21,49.76,-38.12,53.30,8.85,6.93,-6.42,71.06
,  Inferior Irrigation,-87.52,-48.52,-40.39,50.66,7.26,89.72,20.41,69.21
,  Light,-82.93,86.30,-34.98,61.39,17.19,-11.65,-96.89,76.22
,  Solid Waste,-84.80,82.85,-36.43,53.29,9.00,-13.04,29.09,74.80
,  Thermal,38.41,78.42,-40.66,47.86,1.95,-37.33,21.71,63.99
