Polluted element,Type of pollution,Florida_Columbia,Florida_Springfield,Illinois_Baltimore,Illinois_Chicago,Illinois_Fort Lauderdale,Maryland_Aberdeen,Maryland_Tampa
Air,,-63.28,42.34,-13.45,14.56,-88.60,-37.67,58.42
,  Chemical,-57.39,46.10,-8.93,21.13,-79.20,-29.47,88.75
,  Inferior Irrigation,-67.61,40.43,-17.64,10.60,-96.38,-45.85,67.79
,  Inorganic Fertilizers,-53.85,51.63,-4.44,26.18,-76.99,-26.54,-2.52
,  Light,-64.94,42.53,-13.31,13.07,-91.48,-36.97,74.62
,  Urban Activities,-72.59,31.03,-22.95,1.81,-98.93,-49.53,63.48
Soil,,-65.78,40.88,-14.82,12.77,-88.87,-38.68,76.73
,  Groundwater,-59.45,45.24,-10.03,20.31,-79.44,-31.70,83.00
,  Industrial,-77.75,31.39,-23.53,0.52,-99.91,-50.17,61.86
,  Solid Waste,-69.73,35.77,-21.61,3.89,-96.31,-46.08,66.97
,  Thermal,-67.00,42.44,-13.80,13.18,-92.67,-37.47,72.47
,  Urban Activities,-54.99,49.55,-5.13,25.95,-76.01,-27.97,99.36
Water,,-61.60,43.81,-12.12,15.79,-86.04,-35.07,59.33
,  Industrial,-55.68,48.71,-7.10,20.92,-77.63,-29.87,94.78
,  Inorganic Fertilizers,-69.86,31.25,-23.87,2.81,-99.20,-47.69,65.05
,  Noise,-67.70,41.38,-15.15,11.65,-94.31,-42.33,68.36
,  Solid Waste,-51.76,52.81,-2.79,29.47,-74.89,-24.29,-7.83
,  Surface water,-62.99,44.91,-11.68,14.11,-84.19,-31.19,76.30
