Polluted element,Type of pollution,Georgia_Boston,Georgia_Washington,Massachusetts_Albany,Massachusetts_Hastings,Minnesota_Cambridge,Minnesota_Columbus,Minnesota_Rochester
Air,,71.31,-39.68,-66.12,43.84,0.65,-14.75,17.41
,  Inorganic Fertilizers,85.29,-31.08,-54.69,53.33,-89.91,-3.78,23.10
,  Light,63.87,-39.49,-70.56,42.93,96.26,-19.27,15.73
,  Solid Waste,61.63,-52.31,-78.76,29.28,89.29,-24.79,11.09
,  Surface water,74.45,-35.83,-60.47,49.81,-93.04,-11.15,19.71
Soil,,70.28,-42.66,-67.58,40.01,-0.89,-16.32,13.47
,  Inferior Irrigation,63.70,-44.82,-70.12,31.91,94.66,-21.22,12.79
,  Inorganic Fertilizers,59.68,-54.68,-81.27,29.84,89.94,-24.29,0.76
,  Noise,73.44,-38.63,-62.81,47.76,-94.79,-13.79,17.07
,  Oxygen-depletion,84.32,-32.50,-56.12,50.54,-93.37,-6.00,23.26
Water,,73.28,-37.95,-61.33,45.94,-47.12,-13.13,18.85
,  Groundwater,78.54,-34.55,-58.03,50.99,-94.74,-11.03,20.18
,  Solid Waste,86.40,-30.64,-54.66,58.07,-88.16,-2.02,25.87
,  Thermal,66.77,-38.43,-62.10,43.60,-95.32,-16.31,16.53
,  Urban Activities,61.42,-48.20,-70.55,31.09,89.73,-23.15,12.83
Average,,71.63,-40.10,-65.01,43.26,-15.79,-14.73,16.58
,  ,71.63,-40.10,-65.01,43.26,-15.79,-14.73,16.58
