Polluted element,Type of pollution,Maryland_Columbia,Maryland_Detroit,Maryland_Rochester,Michigan_Baltimore,Michigan_Flint,Minnesota_Aberdeen,Minnesota_Hastings,Minnesota_Port Huron
Average,,12.84,11.20,-43.74,-10.52,42.35,-49.44,36.70,-18.01
,  ,12.84,11.20,-43.74,-10.52,42.35,-49.44,36.70,-18.01
Air,,14.46,9.68,-30.46,-39.33,-2.15,-94.56,20.91,-22.53
,  Noise,0.83,92.55,-75.18,43.00,-50.21,-99.73,58.25,-34.50
,  Solid Waste,28.30,-31.09,56.76,-78.61,-40.10,-90.06,-61.30,-11.44
,  Surface water,14.26,-32.42,-72.95,-82.38,83.86,-93.90,65.77,-21.65
Soil,,33.54,12.59,-28.67,4.11,87.31,-47.87,66.11,-13.20
,  Light,14.22,-33.43,-73.76,-85.37,82.52,-95.75,57.92,-24.73
,  Noise,30.72,-27.73,-71.03,50.33,91.22,-86.68,73.00,-2.13
,  Urban Activities,55.69,98.94,58.79,47.38,88.19,38.83,67.40,-12.73
Water,,-9.49,11.32,-72.10,3.65,41.90,-5.88,23.09,-18.30
,  Chemical,17.45,-31.25,-72.80,-81.95,84.49,-90.76,66.16,-21.07
,  Industrial,29.67,-28.85,-68.99,51.63,-40.40,41.98,70.16,-6.34
,  Thermal,-75.59,94.07,-74.52,41.28,81.60,31.15,-67.05,-27.50
