Polluted element,Type of pollution,Illinois_Chicago,Illinois_Detroit,Illinois_Minneapolis,Michigan_Hastings,Michigan_Port Huron,Michigan_Springfield,Minnesota_Flint,Minnesota_Rochester
Average,,12.21,32.65,-17.02,-51.91,11.77,78.81,57.61,-80.99
,  ,12.21,32.65,-17.02,-51.91,11.77,78.81,57.61,-80.99
Air,,18.22,30.89,-19.08,-54.18,10.51,77.16,56.68,-82.38
,  Groundwater,93.48,24.03,-26.73,-58.43,5.97,72.61,48.90,-85.21
,  Inorganic Fertilizers,98.60,31.84,-15.70,-53.41,9.25,76.71,59.50,-82.48
,  Light,90.82,21.04,-35.95,-66.74,1.25,71.75,45.29,-89.79
,  Surface water,-92.55,42.77,-5.12,-42.87,19.88,83.70,66.23,-73.10
,  Urban Activities,-99.24,34.76,-11.91,-49.45,16.18,81.01,63.47,-81.31
Soil,,-0.87,34.17,-15.32,-49.05,13.78,79.81,58.88,-80.25
,  Chemical,-90.35,44.91,-2.56,-36.20,21.10,89.19,68.35,-69.23
,  Inferior Irrigation,96.37,30.31,-19.08,-54.13,9.18,76.70,51.96,-83.70
,  Noise,-95.32,37.67,-13.38,-43.11,18.05,80.74,64.06,-75.63
,  Solid Waste,-5.44,34.59,-12.02,-49.15,15.57,79.69,62.36,-81.25
,  Surface water,90.38,23.35,-29.55,-62.66,4.99,72.73,47.66,-91.43
Water,,19.28,32.91,-16.66,-52.51,11.02,79.45,57.28,-80.35
,  Chemical,93.05,29.75,-19.18,-57.20,6.17,75.22,49.13,-84.48
,  Groundwater,-91.45,43.80,-4.33,-40.79,16.97,87.28,64.27,-71.61
,  Industrial,99.68,33.17,-13.64,-54.50,11.95,79.48,61.53,-81.60
,  Light,-96.06,36.08,-11.63,-45.74,16.46,82.99,64.90,-76.04
,  Noise,91.18,21.74,-34.51,-64.34,3.54,72.30,46.57,-88.03
