Polluted element,Type of pollution,Florida_Fort Lauderdale,Florida_Reno,Nevada_Boulder City,Nevada_Tampa
Average,,45.95,0.98,-10.81,19.13
,  ,45.95,0.98,-10.81,19.13
Air,,20.83,2.27,-22.20,-5.99
,  Industrial,94.40,36.12,6.77,70.83
,  Surface water,-21.53,-83.66,21.01,-49.46
,  Thermal,-10.39,54.34,-94.39,-39.35
Soil,,57.45,-43.93,13.40,30.73
,  Chemical,95.05,41.22,11.85,72.59
,  Light,-12.43,-78.35,26.23,-47.36
,  Urban Activities,89.74,-94.66,2.13,66.95
Water,,59.58,44.59,-23.62,32.65
,  Groundwater,99.48,43.84,19.04,79.91
,  Inferior Irrigation,89.32,37.95,4.83,-61.30
,  Noise,-10.05,51.98,-94.73,79.34
