Polluted element,Type of pollution,Florida_Columbia,Florida_Columbus,Florida_Fort Lauderdale,Georgia_Aberdeen,Georgia_Washington,Maryland_Albany,Maryland_Baltimore,Maryland_Tampa,Average
Air,,44.82,-9.64,-80.11,72.25,-48.16,-27.47,19.10,-2.61,-3.98
,  Chemical,40.70,-12.83,-84.01,69.25,-49.71,-28.96,17.24,90.02,5.21
,  Light,48.36,-6.85,-75.53,75.25,-47.15,-25.42,21.19,-96.35,-13.31
,  Oxygen-depletion,45.39,-9.24,-80.78,72.26,-47.62,-28.04,18.88,-1.49,-3.83
Soil,,39.77,-12.26,-86.01,68.50,-52.31,-29.07,14.57,61.50,0.59
,  Inorganic Fertilizers,40.20,-12.34,-80.40,69.36,-53.16,-29.69,14.88,-4.85,-7.00
,  Surface water,37.27,-14.65,-94.93,65.17,-55.41,-30.13,11.06,91.42,1.23
,  Thermal,41.85,-9.78,-82.70,70.96,-48.36,-27.40,17.77,97.92,7.53
Water,,40.88,-11.83,-84.64,70.08,-50.11,-28.16,16.72,25.89,-2.65
,  Groundwater,39.23,-15.82,-94.86,65.32,-53.28,-28.28,12.51,90.73,1.94
,  Noise,39.87,-7.86,-79.99,73.79,-48.70,-25.82,21.11,-9.30,-4.61
,  Solid Waste,43.54,-11.80,-79.06,71.13,-48.36,-30.37,16.55,-3.76,-5.27
Average,,41.82,-11.24,-83.58,70.28,-50.19,-28.23,16.80,28.26,-2.01
,  ,41.82,-11.24,-83.58,70.28,-50.19,-28.23,16.80,28.26,-2.01
