State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
California,Malibu,Air,Thermal,1.31
California,Malibu,Soil,Light,7.35
California,Malibu,Water,Noise,7.4
California,Malibu,Air,Industrial,10.15
California,Malibu,Soil,Urban Activities,13.17
California,Malibu,Water,Surface water,14.08
California,Malibu,Air,Groundwater,16.97
California,Malibu,Soil,Thermal,17.67
California,Malibu,Water,Light,22.36
Florida,San Francisco,Air,Thermal,23.63
Florida,San Francisco,Soil,Light,24.71
Florida,San Francisco,Water,Noise,28.86
Florida,San Francisco,Air,Industrial,29.95
Florida,San Francisco,Soil,Urban Activities,-98.41
Florida,San Francisco,Water,Surface water,-98.17
Florida,San Francisco,Air,Groundwater,32.05
Florida,San Francisco,Soil,Thermal,-97.02
Florida,San Francisco,Water,Light,36.17
Nevada,Berkeley,Air,Thermal,-92.21
Nevada,Berkeley,Soil,Light,-90.79
Nevada,Berkeley,Water,Noise,-90.02
Nevada,Berkeley,Air,Industrial,-88.42
Nevada,Berkeley,Soil,Urban Activities,42.7
Nevada,Berkeley,Water,Surface water,-85.45
Nevada,Berkeley,Air,Groundwater,-85.78
Nevada,Berkeley,Soil,Thermal,-83.95
Nevada,Berkeley,Water,Light,-83.56
California,Fort Lauderdale,Air,Thermal,-79.83
California,Fort Lauderdale,Soil,Light,49.47
California,Fort Lauderdale,Water,Noise,-79.09
California,Fort Lauderdale,Air,Industrial,-79.36
California,Fort Lauderdale,Soil,Urban Activities,51.26
California,Fort Lauderdale,Water,Surface water,-69.04
California,Fort Lauderdale,Air,Groundwater,61.36
California,Fort Lauderdale,Soil,Thermal,62.06
California,Fort Lauderdale,Water,Light,-65.66
Florida,Tampa,Air,Thermal,-62.34
Florida,Tampa,Soil,Light,-59.62
Florida,Tampa,Water,Noise,71.51
Florida,Tampa,Air,Industrial,72.76
Florida,Tampa,Soil,Urban Activities,73.86
Florida,Tampa,Water,Surface water,72.13
Florida,Tampa,Air,Groundwater,-54.52
Florida,Tampa,Soil,Thermal,-52.73
Florida,Tampa,Water,Light,77.23
Nevada,Boulder City,Air,Thermal,85.31
Nevada,Boulder City,Soil,Light,-40.27
Nevada,Boulder City,Water,Noise,-40.16
Nevada,Boulder City,Air,Industrial,90.18
Nevada,Boulder City,Soil,Urban Activities,91.68
Nevada,Boulder City,Water,Surface water,92.07
Nevada,Boulder City,Air,Groundwater,-35.71
Nevada,Boulder City,Soil,Thermal,-33.54
Nevada,Boulder City,Water,Light,95.02
California,Reno,Air,Thermal,-33.74
California,Reno,Soil,Light,95.11
California,Reno,Water,Noise,-25.63
California,Reno,Air,Industrial,-24.88
California,Reno,Soil,Urban Activities,-16.05
California,Reno,Water,Surface water,-13.63
California,Reno,Air,Groundwater,-4.66
California,Reno,Soil,Thermal,-3.18
California,Reno,Water,Light,-1.29
