Polluted element,Type of pollution,Georgia_Albany_2015,Georgia_Columbia_2016,Illinois_Aberdeen_2015,Illinois_Champaign_2016,Maryland_Columbus_2016,Maryland_Springfield_2015
Air,,-13.45,-32.24,33.02,12.63,91.48,-49.67
,  Industrial,-26.77,-80.96,71.54,4.55,85.67,31.71
,  Light,-1.52,61.06,-49.02,22.72,97.41,-87.52
,  Surface water,-12.05,-76.82,76.54,10.63,91.36,-93.21
Soil,,21.20,-36.80,-15.04,7.07,87.36,32.26
,  Groundwater,-23.43,49.26,72.14,8.13,86.76,34.64
,  Noise,-8.99,-74.27,-52.62,12.88,92.95,38.53
,  Solid Waste,96.02,-85.39,-64.65,0.19,82.36,23.61
Water,,-15.94,8.12,-12.89,8.88,47.82,-50.56
,  Inferior Irrigation,-28.45,46.66,-63.44,3.14,84.88,30.94
,  Oxygen-depletion,-14.61,-79.00,75.24,10.09,-37.95,-93.70
,  Thermal,-4.77,56.71,-50.47,13.40,96.52,-88.91
