State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Oregon,Portland,2018,Air,Thermal,4.19
Oregon,Portland,2018,Water,Noise,7.87
Oregon,Portland,2018,Soil,Light,10.5
Oregon,Portland,2018,Air,Surface water,11.68
Oregon,Portland,2018,Water,Chemical,15.8
Oregon,Portland,2018,Soil,Groundwater,16.26
Oregon,Portland,2018,Air,Oxygen-depletion,15.46
Oregon,Portland,2018,Water,Industrial,18.18
Oregon,Portland,2018,Soil,Inorganic Fertilizers,18.23
Oregon,Portland,2018,Air,Solid Waste,29.09
Oregon,Portland,2018,Water,Thermal,38.91
Oregon,Portland,2018,Soil,Noise,41.03
Florida,Redmond,2019,Air,Thermal,46.65
Florida,Redmond,2019,Water,Noise,52.62
Florida,Redmond,2019,Soil,Light,60.05
Florida,Redmond,2019,Air,Surface water,62.53
Florida,Redmond,2019,Water,Chemical,66.22
Florida,Redmond,2019,Soil,Groundwater,67.21
Florida,Redmond,2019,Air,Oxygen-depletion,68.06
Florida,Redmond,2019,Water,Industrial,72.9
Florida,Redmond,2019,Soil,Inorganic Fertilizers,74.85
Florida,Redmond,2019,Air,Solid Waste,77.8
Florida,Redmond,2019,Water,Thermal,77.62
Florida,Redmond,2019,Soil,Noise,82.5
Nevada,Fort Lauderdale,2016,Air,Thermal,85.8
Nevada,Fort Lauderdale,2016,Water,Noise,86.2
Nevada,Fort Lauderdale,2016,Soil,Light,86.79
Nevada,Fort Lauderdale,2016,Air,Surface water,88.14
Nevada,Fort Lauderdale,2016,Water,Chemical,90.72
Nevada,Fort Lauderdale,2016,Soil,Groundwater,90.91
Nevada,Fort Lauderdale,2016,Air,Oxygen-depletion,93.41
Nevada,Fort Lauderdale,2016,Water,Industrial,94.04
Nevada,Fort Lauderdale,2016,Soil,Inorganic Fertilizers,96.6
Nevada,Fort Lauderdale,2016,Air,Solid Waste,97.17
Nevada,Fort Lauderdale,2016,Water,Thermal,-99.43
Nevada,Fort Lauderdale,2016,Soil,Noise,-98.44
Oregon,Tampa,2018,Air,Thermal,-97.95
Oregon,Tampa,2018,Water,Noise,-98.71
Oregon,Tampa,2018,Soil,Light,-83.3
Oregon,Tampa,2018,Air,Surface water,-81.67
Oregon,Tampa,2018,Water,Chemical,-81.36
Oregon,Tampa,2018,Soil,Groundwater,-78.39
Oregon,Tampa,2018,Air,Oxygen-depletion,-77.18
Oregon,Tampa,2018,Water,Industrial,-75.35
Oregon,Tampa,2018,Soil,Inorganic Fertilizers,-74.63
Oregon,Tampa,2018,Air,Solid Waste,-72.43
Oregon,Tampa,2018,Water,Thermal,-70.81
Oregon,Tampa,2018,Soil,Noise,-67.18
Florida,Las Vegas,2019,Air,Thermal,-66.16
Florida,Las Vegas,2019,Water,Noise,-66.9
Florida,Las Vegas,2019,Soil,Light,-67.57
Florida,Las Vegas,2019,Air,Surface water,-64.02
Florida,Las Vegas,2019,Water,Chemical,-62.47
Florida,Las Vegas,2019,Soil,Groundwater,-61.88
Florida,Las Vegas,2019,Air,Oxygen-depletion,-60.45
Florida,Las Vegas,2019,Water,Industrial,-57.54
Florida,Las Vegas,2019,Soil,Inorganic Fertilizers,-54.16
Florida,Las Vegas,2019,Air,Solid Waste,-52.02
Florida,Las Vegas,2019,Water,Thermal,-51.13
Florida,Las Vegas,2019,Soil,Noise,-48.51
Nevada,Reno,2016,Air,Thermal,-47.55
Nevada,Reno,2016,Water,Noise,-46.94
Nevada,Reno,2016,Soil,Light,-45.35
Nevada,Reno,2016,Air,Surface water,-44.28
Nevada,Reno,2016,Water,Chemical,-44.1
Nevada,Reno,2016,Soil,Groundwater,-40.5
Nevada,Reno,2016,Air,Oxygen-depletion,-40.83
Nevada,Reno,2016,Water,Industrial,-37.49
Nevada,Reno,2016,Soil,Inorganic Fertilizers,-36.59
Nevada,Reno,2016,Air,Solid Waste,-36.0
Nevada,Reno,2016,Water,Thermal,-34.13
Nevada,Reno,2016,Soil,Noise,-37.74
Oregon,Boulder City,2018,Air,Thermal,-30.45
Oregon,Boulder City,2018,Water,Noise,-28.09
Oregon,Boulder City,2018,Soil,Light,-19.66
Oregon,Boulder City,2018,Air,Surface water,-17.36
Oregon,Boulder City,2018,Water,Chemical,-16.44
Oregon,Boulder City,2018,Soil,Groundwater,-14.52
Oregon,Boulder City,2018,Air,Oxygen-depletion,-14.16
Oregon,Boulder City,2018,Water,Industrial,-11.59
Oregon,Boulder City,2018,Soil,Inorganic Fertilizers,-7.26
Oregon,Boulder City,2018,Air,Solid Waste,-5.49
Oregon,Boulder City,2018,Water,Thermal,-4.38
Oregon,Boulder City,2018,Soil,Noise,-3.95
