Polluted element,Type of pollution,Georgia_Salem,Georgia_Washington,Oregon_Albany,Oregon_Columbus,Oregon_Redmond,Average
Air,Chemical,38.18,77.21,-29.33,65.64,12.70,32.88
,Groundwater,56.85,90.29,-11.10,-56.32,33.30,22.60
,Thermal,45.99,-46.98,-21.81,-60.61,20.98,-12.49
Soil,Inferior Irrigation,41.51,79.91,-23.13,66.05,19.67,36.80
,Noise,54.16,88.25,-12.83,-57.12,26.74,19.84
,Surface water,-91.16,75.77,-31.55,64.24,10.12,5.48
Water,Groundwater,35.14,73.70,-32.19,63.89,4.70,29.05
,Light,46.60,86.29,-13.61,-64.07,24.76,15.99
,Solid Waste,-88.14,77.42,-25.25,-63.27,16.18,-16.61
Average,,15.46,66.87,-22.31,-4.62,18.79,14.84
