Polluted element,Type of pollution,California_Berkeley_2018,California_Los-Angeles_2021,California_Rochester_2015,Minnesota_Hastings_2018,Minnesota_Minneapolis_2021,Minnesota_San Francisco_2015
Air,,82.67,21.03,-57.12,-26.02,-83.06,51.21
,  Inorganic Fertilizers,75.57,14.72,-65.92,-31.30,-88.69,46.77
,  Oxygen-depletion,80.14,22.93,-54.64,-25.71,-83.50,52.09
,  Solid Waste,82.51,20.41,-59.18,-29.68,-82.25,50.47
,  Thermal,92.47,26.05,-48.73,-17.41,-77.80,55.49
Soil,,79.13,16.42,-57.23,-27.65,-84.52,49.26
,  Industrial,76.20,17.63,-59.59,-30.20,-82.18,49.41
,  Noise,90.06,22.60,-49.50,-19.40,-81.21,51.43
,  Surface water,79.94,15.61,-56.33,-27.84,-84.69,49.47
,  Urban Activities,70.34,9.82,-63.50,-33.17,-89.99,46.75
Water,,76.44,15.06,-60.26,-28.93,-87.83,47.85
,  Chemical,77.09,12.74,-60.90,-28.06,-86.86,48.36
,  Groundwater,64.35,9.87,-63.20,-36.48,-93.31,45.25
,  Inferior Irrigation,75.91,14.76,-60.01,-30.07,-89.51,46.11
,  Light,88.39,22.86,-56.92,-21.10,-81.64,51.66
Average,,79.41,17.50,-58.20,-27.53,-85.14,49.44
,  ,79.41,17.50,-58.20,-27.53,-85.14,49.44
