Polluted element,Type of pollution,Illinois_Chicago_2019,Illinois_Redmond_2016,Illinois_Springfield_2018,Oregon_Champaign_2016,Oregon_Portland_2018,Oregon_Salem_2019
Average,,22.99,-42.47,-3.90,57.19,-42.91,-1.15
,  ,22.99,-42.47,-3.90,57.19,-42.91,-1.15
Soil,,37.75,-26.81,10.31,88.81,-76.19,13.39
,  Industrial,68.43,-95.56,-21.25,89.67,-78.23,7.92
,  Oxygen-depletion,75.77,43.67,-13.45,93.08,-68.97,22.27
,  Surface water,-59.05,40.78,-20.05,89.31,-75.91,20.40
,  Urban Activities,65.87,-96.13,96.00,83.19,-81.65,2.96
Water,,8.22,-58.13,-18.11,25.57,-9.63,-15.69
,  Chemical,-59.52,-94.55,-20.53,89.06,-77.06,8.01
,  Groundwater,-55.74,-86.53,-17.40,92.61,-73.94,21.38
,  Solid Waste,66.08,32.83,-22.22,-44.98,48.71,4.23
,  Urban Activities,82.06,-84.27,-12.30,-34.43,63.76,-96.37
