Polluted element,Type of pollution,Georgia_Albany_2019,Georgia_Port Huron_2019,Michigan_Columbus_2015,Michigan_Flint_2015
Average,,-2.04,2.71,35.14,-13.56
,  ,-2.04,2.71,35.14,-13.56
Air,,-18.74,28.07,60.63,2.35
,  Groundwater,-6.97,62.39,96.77,42.96
,  Inorganic Fertilizers,-19.03,48.09,88.89,-97.52
,  Oxygen-depletion,-30.93,47.74,69.50,5.94
,  Thermal,-24.81,50.86,-43.01,23.45
,  Urban Activities,-11.96,-68.71,91.01,36.93
Soil,,-16.39,-46.84,37.18,-44.58
,  Chemical,-2.39,-64.53,96.47,-83.12
,  Groundwater,-28.56,-80.00,79.15,15.31
,  Light,-22.46,-77.27,86.43,31.15
,  Solid Waste,-16.79,55.28,-39.38,-95.86
,  Surface water,-11.77,-67.70,-36.77,-90.40
Water,,29.02,26.89,7.61,1.56
,  Chemical,96.10,49.53,-44.13,22.84
,  Industrial,-21.47,-80.97,87.87,-96.60
,  Inferior Irrigation,-15.74,56.43,-39.30,36.06
,  Oxygen-depletion,-11.85,62.98,95.21,40.12
,  Surface water,98.08,46.48,-61.58,5.39
