Polluted element,Type of pollution,Maryland_Aberdeen_2016,Maryland_Baltimore_2016,Maryland_Detroit_2016,Michigan_Columbia_2015,Michigan_Flint_2015
Average,,-44.86,14.75,25.16,-30.52,-23.93
,  ,-44.86,14.75,25.16,-30.52,-23.93
Air,,-45.93,14.15,6.77,-31.28,6.73
,  Light,-85.38,5.94,-43.58,28.01,-64.38
,  Noise,-80.80,10.22,95.26,-97.85,66.37
,  Oxygen-depletion,57.31,21.92,-10.60,-88.31,-49.37
,  Surface water,-74.84,18.52,-14.00,33.02,74.31
Water,,-43.79,15.34,43.55,-29.75,-54.60
,  Chemical,-79.38,13.13,97.76,-97.81,-57.34
,  Groundwater,-72.89,20.05,-11.38,36.52,-53.01
,  Light,62.38,22.49,-3.18,-87.76,-45.80
,  Thermal,-85.26,5.70,91.01,30.05,-62.25
