Polluted element,Type of pollution,Illinois_Boston_2021,Illinois_Champaign_2017,Massachusetts_Cambridge_2021,Massachusetts_Redmond_2017,Massachusetts_Springfield_2021,Oregon_Lenox_2017,Oregon_Portland_2021,Average
Soil,,-42.90,0.35,-6.75,-59.82,-14.17,-23.63,-9.91,-22.40
,  Chemical,-76.89,94.74,22.86,-62.71,-16.74,-88.96,-43.79,-24.50
,  Industrial,55.82,-30.84,-98.71,-57.72,-12.42,44.04,89.98,-1.41
,  Inorganic Fertilizers,-71.98,-24.20,35.46,-50.02,-3.99,44.17,-37.78,-15.48
,  Surface water,-78.55,-38.28,13.40,-68.81,-23.52,-93.77,-48.06,-48.23
Water,,-12.12,32.55,-45.40,34.23,-15.89,8.94,21.14,3.35
,  Groundwater,51.43,94.66,14.92,64.66,-19.50,38.98,84.25,47.06
,  Inferior Irrigation,-72.61,-26.36,-97.39,-55.31,-6.44,-83.80,-39.50,-54.49
,  Oxygen-depletion,-79.52,92.83,0.00,60.07,-24.34,36.99,-49.03,5.29
,  Urban Activities,52.20,-30.95,-99.12,67.51,-13.29,43.60,88.84,15.54
