Polluted element,Type of pollution,California_Los-Angeles_2021,California_Portland_2021,Oregon_Berkeley_2019,Oregon_Redmond_2019,Oregon_Salem_2019,Average
Air,,82.89,-85.94,22.72,9.90,-8.21,4.27
,  Industrial,77.19,-91.03,98.59,53.55,2.92,28.24
,  Inorganic Fertilizers,85.58,-83.03,-11.75,-62.64,26.30,-9.11
,  Noise,84.56,-85.89,-14.93,60.77,16.89,12.28
,  Solid Waste,80.13,-87.90,46.09,56.32,10.37,21.00
,  Urban Activities,86.97,-81.84,-4.41,-58.48,-97.53,-31.06
Soil,,-20.35,-34.94,8.25,31.62,15.01,-0.08
,  Inferior Irrigation,-39.03,-82.55,-5.66,70.15,30.89,-5.24
,  Inorganic Fertilizers,-52.39,-93.01,99.24,-81.18,-0.57,-25.58
,  Light,-46.70,-85.88,-15.41,57.03,11.89,-15.81
,  Oxygen-depletion,85.39,46.41,-11.64,65.52,25.36,42.21
,  Urban Activities,-49.00,40.32,-25.30,46.60,7.47,4.02
Water,,34.56,-6.20,-13.72,61.39,-6.42,13.92
,  Industrial,-40.59,47.57,-7.28,68.35,28.67,19.34
,  Inferior Irrigation,-52.48,39.74,-26.34,53.58,3.45,3.59
,  Solid Waste,98.55,-77.19,-2.78,74.16,-98.89,-1.23
,  Surface water,85.47,-83.53,-15.82,62.07,22.72,14.18
,  Thermal,81.87,42.39,-16.36,48.81,11.96,33.73
