Polluted element,Type of pollution,Georgia_Cambridge_2021,Georgia_Columbus_2021,Georgia_Hastings_2018,Massachusetts_Albany_2021,Massachusetts_Lenox_2021,Massachusetts_Rochester_2018,Minnesota_Boston_2018,Minnesota_Minneapolis_2021,Minnesota_Washington_2018,Average
Soil,,-35.42,-10.51,36.80,51.87,17.33,-24.05,-96.23,-15.61,-22.11,-10.88
,  Groundwater,-72.09,-7.28,-43.71,99.83,20.87,64.94,-93.03,-57.61,-17.89,-11.77
,  Industrial,53.39,-10.00,77.72,93.07,19.86,-67.16,-96.81,-57.39,-23.43,-1.19
,  Surface water,-87.57,-14.25,76.40,-37.29,11.26,-69.93,-98.86,68.16,-25.00,-19.68
Water,,-38.08,-13.54,-7.55,5.42,14.09,-26.19,-23.92,-59.92,-24.11,-19.31
,  Chemical,49.56,-15.46,-51.72,92.26,15.02,-68.16,-97.85,-59.88,-25.10,-17.93
,  Groundwater,-89.94,-15.91,75.29,-41.71,6.44,-72.59,-7.31,-63.63,-28.65,-26.45
,  Inferior Irrigation,-73.87,-9.24,-46.22,-34.29,20.82,62.18,33.40,-56.26,-18.57,-13.56
Average,,-36.75,-12.02,14.63,28.64,15.71,-25.12,-60.08,-37.77,-23.11,-15.10
,  ,-36.75,-12.02,14.63,28.64,15.71,-25.12,-60.08,-37.77,-23.11,-15.10
