Polluted element,Type of pollution,Maryland_Baltimore_2016,Maryland_Boulder City_2016,Nevada_Aberdeen_2017,Nevada_Las Vegas_2017,Nevada_Reno_2017,Average
Air,,43.16,5.29,-25.02,20.63,15.72,11.95
,  Groundwater,64.89,-96.45,-36.01,-83.00,4.74,-29.17
,  Oxygen-depletion,88.38,43.12,-11.97,60.81,24.59,40.99
,  Thermal,-58.72,36.34,-30.71,48.57,11.15,1.33
,  Urban Activities,78.09,38.14,-21.41,56.13,22.41,34.67
Soil,,12.65,-24.88,11.03,-41.79,-14.72,-11.54
,  Groundwater,-39.78,44.91,-4.78,-67.03,-97.70,-32.88
,  Industrial,-48.09,-87.62,-18.35,59.98,21.20,-14.58
,  Light,73.83,-92.46,-29.23,-77.44,13.47,-22.37
,  Surface water,64.66,35.66,96.48,-82.66,4.14,23.66
Water,,7.23,-60.02,35.23,-44.87,12.59,-9.97
,  Chemical,66.29,-92.40,96.57,-82.11,6.99,-0.93
,  Noise,-52.54,-93.74,-27.94,-73.83,21.15,-45.38
,  Oxygen-depletion,63.52,32.79,88.45,45.26,0.46,46.10
,  Solid Waste,-48.36,-86.73,-16.15,-68.79,21.76,-39.65
Average,,21.01,-26.54,7.08,-22.01,4.53,-3.18
,  ,21.01,-26.54,7.08,-22.01,4.53,-3.18
