Polluted element,Type of pollution,Massachusetts_Boston_2015,Massachusetts_Cambridge_2015,Massachusetts_Las Vegas_2015,Nevada_Boulder City_2017,Nevada_Lenox_2017
Air,Chemical,8.21,57.85,-27.61,-9.44,-93.64
,Industrial,17.05,62.47,-18.78,19.56,-86.38
,Oxygen-depletion,14.84,51.58,-19.74,-43.50,-87.46
,Thermal,21.72,66.75,-12.67,90.02,-80.01
Soil,Inferior Irrigation,13.13,-70.47,-21.91,16.07,-25.39
,Light,19.10,62.67,-16.34,-40.10,40.26
,Surface water,9.77,-75.70,-24.85,85.32,39.52
,Urban Activities,6.10,55.74,98.51,82.53,-6.53
Water,Groundwater,9.25,-75.83,-21.51,86.23,-88.34
,Inorganic Fertilizers,5.93,-77.98,-30.58,83.90,-93.53
,Noise,20.12,64.04,-13.29,-40.89,45.92
,Solid Waste,15.43,-2.11,43.76,18.96,-23.23
