Polluted element,Type of pollution,Florida_Chicago_2015,Florida_Fort Lauderdale_2015,Florida_Lenox_2015,Illinois_Cambridge_2016,Illinois_Champaign_2016,Massachusetts_Springfield_2022,Massachusetts_Tampa_2022
Air,,18.86,12.66,25.12,-27.28,49.35,-6.79,-86.90
,  Industrial,-24.71,9.14,65.24,58.81,-36.14,-48.64,-89.02
,  Noise,98.29,3.14,66.83,-74.08,89.95,-52.88,-94.35
,  Surface water,-17.00,25.70,-56.71,-66.58,94.23,81.14,-77.32
Soil,,-19.84,18.47,-16.16,16.98,49.74,-3.73,2.02
,  Inferior Irrigation,-18.47,18.06,-60.01,60.69,92.62,-47.76,-83.15
,  Light,-29.04,8.66,66.80,55.17,-38.26,-51.28,36.56
,  Noise,-12.01,28.68,-55.26,-64.92,94.86,87.84,52.64
Water,,-17.49,20.34,-11.45,18.91,7.29,39.93,-39.35
,  Chemical,-18.09,19.11,63.70,-66.61,94.42,82.60,-81.40
,  Light,-6.30,32.32,-37.83,65.63,-35.10,88.14,53.56
,  Thermal,-28.08,9.59,-60.22,57.72,-37.44,-50.94,-90.22
Average,,-6.16,17.16,-0.83,2.87,35.46,9.80,-41.41
,  ,-6.16,17.16,-0.83,2.87,35.46,9.80,-41.41
