Polluted element,Type of pollution,Georgia_Albany_2015,Georgia_Reno_2019,Nevada_Columbus_2022,Nevada_Las Vegas_2021
Average,,-12.22,-55.58,-47.54,12.93
,  ,-12.22,-55.58,-47.54,12.93
Air,,0.42,-57.91,-33.38,10.57
,  Light,91.68,-88.61,-72.07,9.94
,  Noise,-50.61,32.10,53.55,-0.93
,  Solid Waste,-23.94,-89.56,-60.49,13.60
,  Urban Activities,-15.44,-85.58,-54.50,19.69
Soil,,-24.87,-53.25,-61.70,15.29
,  Industrial,-20.72,-85.14,-58.42,15.06
,  Inorganic Fertilizers,-25.76,-87.33,-62.00,12.62
,  Noise,-2.78,-80.13,-53.86,24.67
,  Thermal,-50.21,39.61,-72.54,8.82
