Polluted element,Type of pollution,Massachusetts_Cambridge_2020,Massachusetts_Detroit_2018,Massachusetts_Lenox_2017,Michigan_Boston_2018,Michigan_Flint_2020,Michigan_Port Huron_2017,Average
Air,,12.51,-47.87,-10.87,62.16,-71.78,-24.80,-13.44
,  Groundwater,18.36,-44.97,-92.85,81.87,-64.39,-16.11,-19.68
,  Inorganic Fertilizers,9.35,-50.38,93.24,51.43,-82.53,-30.22,-1.52
,  Noise,14.94,-48.30,-53.99,66.83,-67.69,-29.06,-19.54
,  Solid Waste,1.58,-53.53,86.90,26.43,-83.50,-40.61,-10.46
,  Urban Activities,18.31,-42.17,-87.66,84.24,-60.77,-7.98,-16.01
Soil,,10.62,-49.57,19.90,57.04,-73.48,-27.70,-10.53
,  Industrial,0.78,-56.86,87.77,24.63,-84.68,-42.61,-11.83
,  Inferior Irrigation,7.37,-52.96,93.68,41.01,-83.04,-33.70,-4.61
,  Light,10.84,-48.22,99.68,59.11,-72.12,-28.09,3.53
,  Solid Waste,19.08,-44.81,-88.50,84.25,-61.85,-14.91,-17.79
,  Surface water,15.03,-45.01,-93.11,76.20,-65.73,-19.18,-21.97
Water,,14.73,-48.23,-17.78,66.61,-69.41,-24.17,-13.04
,  Chemical,15.96,-47.29,-99.95,69.21,-66.70,-25.94,-25.79
,  Industrial,19.64,-48.92,-92.48,83.36,-62.90,-15.02,-19.39
,  Inferior Irrigation,23.17,-42.69,-86.61,86.58,-60.41,-5.79,-14.29
,  Thermal,10.13,-49.73,98.51,56.99,-72.23,-29.99,2.28
,  Urban Activities,4.77,-52.53,91.65,36.91,-84.83,-44.13,-8.03
