Polluted element,Type of pollution,Georgia_Albany_2022,Georgia_Detroit_2015,Georgia_Flint_2017,Michigan_Columbus_2017,Michigan_Port Huron_2022,Average
Air,,-15.14,28.48,3.78,-24.72,-48.28,-11.18
,  Groundwater,21.31,-63.42,-32.20,42.36,-46.01,-15.59
,  Inorganic Fertilizers,-99.98,69.11,-8.03,45.24,-43.77,-7.49
,  Light,11.77,57.54,-33.20,-90.97,-49.65,-20.90
,  Solid Waste,6.35,50.68,88.54,-95.52,-53.68,-0.73
Soil,,16.12,-4.99,67.16,-25.82,77.98,26.09
,  Inferior Irrigation,11.92,-73.51,94.17,-93.87,78.94,3.53
,  Inorganic Fertilizers,1.98,49.18,89.05,32.34,72.41,48.99
,  Noise,21.46,63.84,97.44,42.19,81.82,61.35
,  Oxygen-depletion,29.12,-59.45,-12.02,-83.92,78.74,-9.51
Water,,-11.07,-1.41,41.27,9.17,49.55,17.50
,  Industrial,9.99,-74.23,92.92,33.27,76.31,27.65
,  Solid Waste,-98.85,-56.82,-6.14,48.04,88.65,-5.02
,  Surface water,23.84,66.06,-17.79,-83.14,81.69,14.13
,  Thermal,20.73,59.37,96.07,38.50,-48.47,33.24
