Polluted element,Type of pollution,Georgia_Chicago_2021,Georgia_Columbus_2022,Illinois_Albany_2020,Illinois_Champaign_2019,Average
Air,,39.72,-5.18,-13.76,21.04,10.46
,  Chemical,-46.20,-45.17,-13.74,-16.68,-30.45
,  Inorganic Fertilizers,79.19,12.51,-79.76,99.26,27.80
,  Thermal,86.17,17.12,52.23,-19.46,34.02
Soil,,-27.14,13.73,-15.89,23.06,-1.56
,  Light,-45.96,18.53,-78.88,-23.03,-32.34
,  Solid Waste,-52.16,9.95,48.30,98.07,26.04
,  Surface water,16.68,12.70,-17.10,-5.86,1.61
Water,,-8.34,11.70,-20.03,58.59,10.48
,  Groundwater,76.72,9.40,-18.73,-21.14,11.57
,  Noise,-48.45,17.95,48.58,98.93,29.25
,  Oxygen-depletion,-53.28,7.76,-89.95,97.99,-9.37
Average,,1.41,6.75,-16.56,34.23,6.46
,  ,1.41,6.75,-16.56,34.23,6.46
