Polluted element,Type of pollution,Massachusetts_Boston_2016,Massachusetts_Lenox_2020,Massachusetts_Rochester_2017,Minnesota_Cambridge_2017,Minnesota_Hastings_2016,Minnesota_Minneapolis_2020,Average
Air,,-19.45,-84.46,52.76,-47.75,87.16,12.78,0.17
,  Light,-22.61,-86.12,49.79,-50.61,83.24,7.94,-3.06
,  Solid Waste,-18.46,-85.70,54.49,-48.63,89.50,14.05,0.88
,  Surface water,-17.29,-81.57,54.00,-44.01,88.75,16.34,2.70
Soil,,-17.32,-77.89,57.47,-44.13,72.67,16.96,1.29
,  Groundwater,-21.94,-81.39,51.65,-47.55,86.47,11.85,-0.15
,  Industrial,-16.91,-78.34,58.07,-43.82,91.14,15.84,4.33
,  Inferior Irrigation,-13.12,-73.93,62.68,-41.03,40.41,23.19,-0.30
Water,,-18.22,-81.92,55.09,-45.36,89.06,15.37,2.34
,  Inorganic Fertilizers,-14.49,-77.59,57.78,-43.23,93.11,20.90,6.08
,  Noise,-22.41,-85.00,50.55,-48.02,84.94,9.76,-1.70
,  Urban Activities,-17.77,-83.15,56.93,-44.82,89.13,15.44,2.63
Average,,-18.33,-81.42,55.10,-45.75,82.97,15.03,1.27
,  ,-18.33,-81.42,55.10,-45.75,82.97,15.03,1.27
