Polluted element,Type of pollution,Georgia_Albany_2016,Georgia_Chicago_2022,Georgia_Rochester_2016,Illinois_Minneapolis_2016,Illinois_Washington_2022,Minnesota_Hastings_2022,Minnesota_Springfield_2016
Air,,13.34,24.15,-20.70,39.71,-5.19,9.23,-78.41
,  Chemical,3.11,63.35,-32.94,77.79,33.59,92.13,-87.56
,  Groundwater,25.38,-59.53,-10.28,-40.44,-87.94,-30.38,-73.33
,  Thermal,11.54,68.62,-18.89,81.77,38.77,-34.05,-74.35
Soil,,-25.99,25.60,-13.92,-1.53,-48.04,96.37,54.10
,  Chemical,-99.44,-56.01,-5.05,-40.58,-87.47,98.96,60.76
,  Noise,5.91,65.69,-21.72,78.98,33.49,93.26,45.93
,  Solid Waste,15.55,67.13,-14.99,-43.00,-90.15,96.88,55.60
Water,,10.52,-19.27,-22.94,-48.26,-49.39,50.71,-78.41
,  Groundwater,2.12,62.57,-36.32,-53.05,32.63,90.29,-85.43
,  Inferior Irrigation,24.27,-58.88,-12.78,-41.84,-88.48,97.21,-72.02
,  Light,5.18,-61.50,-19.73,-49.88,-92.33,-35.36,-77.79
