Polluted element,Type of pollution,Maryland_Aberdeen_2015,Maryland_Minneapolis_2015,Maryland_Redmond_2015,Minnesota_Columbia_2022,Minnesota_Hastings_2022,Oregon_Baltimore_2021,Oregon_Portland_2021
Air,,21.64,15.85,-20.32,53.31,-79.47,68.48,-53.69
,  Inferior Irrigation,15.81,91.62,-29.17,51.16,-84.68,60.12,-64.21
,  Inorganic Fertilizers,6.99,78.07,-32.89,45.91,-90.93,64.53,-64.74
,  Oxygen-depletion,28.39,-94.12,-17.29,57.53,-73.10,73.62,-47.43
,  Solid Waste,35.53,-91.68,-1.16,60.08,-66.90,73.23,-42.22
,  Thermal,21.49,95.37,-21.09,51.89,-81.72,70.88,-49.87
Soil,,19.65,13.57,-21.49,52.48,-82.51,68.34,-54.84
,  Chemical,28.96,-95.66,-19.41,56.03,-79.33,72.48,-46.47
,  Industrial,32.21,-94.40,-2.38,60.55,-70.40,75.99,-47.40
,  Light,21.57,94.43,-22.40,53.49,-86.93,69.03,-54.50
,  Oxygen-depletion,2.67,78.68,-34.31,42.15,-90.90,63.24,-64.25
,  Solid Waste,12.83,84.78,-28.96,50.16,-85.00,60.96,-61.58
Water,,17.15,51.17,-24.24,48.27,-83.65,67.70,-55.72
,  Chemical,2.56,78.61,-36.13,35.24,-91.61,62.81,-66.79
,  Industrial,10.43,81.17,-29.49,49.77,-86.60,64.57,-62.93
,  Inorganic Fertilizers,28.15,-95.31,-9.19,53.24,-72.84,72.76,-44.11
,  Noise,26.62,97.64,-20.79,50.63,-80.19,69.80,-47.22
,  Urban Activities,17.98,93.75,-25.59,52.46,-86.99,68.54,-57.57
Average,,19.48,26.86,-22.02,51.35,-81.87,68.17,-54.75
,  ,19.48,26.86,-22.02,51.35,-81.87,68.17,-54.75
