Polluted element,Type of pollution,Florida_Salem_2020,Florida_Tampa_2020,Nevada_Portland_2019,Nevada_Reno_2019,Oregon_Fort Lauderdale_2018,Oregon_Las Vegas_2018,Oregon_Redmond_2018
Air,,33.47,-60.19,57.87,-50.27,86.47,-24.09,9.45
,  Groundwater,45.71,-0.22,67.37,-45.07,94.88,-9.14,18.09
,  Industrial,35.01,-69.44,60.11,-47.70,91.26,-21.75,13.16
,  Oxygen-depletion,21.42,-96.90,48.95,-55.11,74.96,-38.94,1.60
,  Thermal,31.74,-74.20,55.05,-53.19,84.80,-26.52,4.95
Soil,,35.82,-72.41,60.09,-48.11,87.64,-21.29,10.30
,  Inferior Irrigation,40.54,-67.66,60.23,-45.76,92.23,-21.19,13.32
,  Noise,32.32,-73.03,57.85,-50.46,84.84,-25.83,4.73
,  Oxygen-depletion,47.88,-58.08,69.27,-42.59,95.27,-5.36,19.73
,  Surface water,22.55,-90.85,53.02,-53.64,78.23,-32.79,3.43
Water,,30.64,-77.38,55.96,-42.02,84.50,-28.18,7.16
,  Chemical,28.53,-75.15,53.67,-52.74,82.71,-32.66,4.93
,  Groundwater,17.69,-99.43,47.96,-56.61,72.83,-39.01,1.33
,  Light,35.75,-69.78,57.28,-49.43,88.61,-24.95,4.76
,  Solid Waste,40.60,-65.15,64.94,-9.29,93.85,-16.11,17.62
Average,,33.31,-69.99,57.98,-46.80,86.21,-24.52,8.97
,  ,33.31,-69.99,57.98,-46.80,86.21,-24.52,8.97
