Polluted element,Type of pollution,Florida_Las Vegas_2022,Florida_Lenox_2020,Massachusetts_Boston_2020,Massachusetts_Boulder City_2022,Massachusetts_Fort Lauderdale_2020,Nevada_Cambridge_2022,Nevada_Reno_2020,Nevada_Tampa_2022
Air,,16.25,-13.21,5.75,-36.88,23.33,-25.74,-26.95,5.95
,  Groundwater,81.44,-75.68,11.68,-65.33,90.25,-84.23,-54.67,-15.89
,  Light,-48.63,-78.09,6.23,-71.74,88.01,-92.79,69.49,97.21
,  Surface water,82.66,52.28,6.09,-67.15,-40.11,39.69,-58.55,-23.99
,  Thermal,-50.48,48.66,-0.98,56.71,-44.83,34.38,-64.08,-33.52
Water,,17.27,-11.85,8.50,11.36,58.09,-22.93,-24.27,41.41
,  Chemical,-45.54,-75.11,10.60,-71.83,89.12,43.66,-55.54,-16.06
,  Noise,-50.80,49.29,-0.34,57.92,88.47,36.57,69.95,94.65
,  Oxygen-depletion,81.81,51.03,6.12,59.56,89.39,-89.85,-57.91,97.89
,  Thermal,83.61,-72.61,17.61,-0.23,-34.61,-82.08,-53.59,-10.86
Average,,16.76,-12.53,7.13,-12.76,40.71,-24.33,-25.61,23.68
,  ,16.76,-12.53,7.13,-12.76,40.71,-24.33,-25.61,23.68
