Polluted element,Type of pollution,Georgia_Albany_2017,Georgia_Champaign_2017,Georgia_Columbus_2017,Illinois_Springfield_2015,Illinois_Washington_2015
Air,,13.89,-22.02,-12.83,-2.67,-36.13
,  Groundwater,14.80,-22.37,-53.65,-46.74,44.98
,  Surface water,23.57,-10.92,-52.80,88.62,-69.80
,  Thermal,3.31,-32.76,67.95,-49.88,-83.56
Water,,-16.76,-15.25,-11.85,-1.76,12.41
,  Light,14.73,-29.53,-60.67,-47.82,46.12
,  Oxygen-depletion,19.72,-12.47,75.89,-47.69,-75.73
,  Thermal,-84.72,-3.75,-50.76,90.24,66.83
Average,,-1.43,-18.63,-12.34,-2.21,-11.86
,  ,-1.43,-18.63,-12.34,-2.21,-11.86
