Polluted element,Type of pollution,Georgia_Albany_2021,Georgia_Port Huron_2021,Massachusetts_Boston_2022,Massachusetts_Flint_2022,Michigan_Cambridge_2015,Michigan_Columbus_2015
Average,,-16.37,58.76,16.04,-85.90,53.27,-54.74
,  ,-16.37,58.76,16.04,-85.90,53.27,-54.74
Air,,-18.39,63.97,13.75,-87.45,51.08,-56.41
,  Groundwater,-11.65,86.78,17.60,-80.26,55.11,-45.58
,  Industrial,-25.84,78.85,5.71,-93.73,46.87,-65.62
,  Light,-32.72,72.48,2.14,-96.67,40.64,-73.69
,  Thermal,-5.53,0.90,30.02,-76.07,65.83,-41.78
,  Urban Activities,-16.23,80.85,13.30,-90.52,46.97,-55.40
Soil,,-16.77,65.35,15.46,-85.77,52.96,-55.56
,  Chemical,-15.64,82.64,16.07,-87.51,52.48,-55.24
,  Inorganic Fertilizers,-4.67,-0.15,31.65,-75.88,66.65,-43.57
,  Solid Waste,-23.60,79.90,5.07,-91.80,47.36,-60.67
,  Surface water,-8.54,90.81,21.69,-78.37,57.27,-43.31
,  Thermal,-31.41,73.56,2.82,-95.30,41.02,-75.03
Water,,-13.94,46.95,18.89,-84.49,55.76,-52.24
,  Industrial,-1.04,-99.34,33.08,-78.49,68.59,-37.47
,  Inferior Irrigation,-20.90,80.68,11.18,-90.02,48.43,-58.62
,  Inorganic Fertilizers,-27.41,76.35,4.78,-94.74,44.43,-69.20
,  Light,-7.57,93.24,28.35,-77.35,62.08,-43.10
,  Oxygen-depletion,-12.76,83.84,17.07,-81.84,55.27,-52.80
