Polluted element,Type of pollution,Georgia_Las Vegas_2022,Georgia_Washington_2019,Michigan_Albany_2019,Michigan_Boulder City_2019,Michigan_Port Huron_2022,Nevada_Columbus_2022,Nevada_Flint_2019,Nevada_Reno_2022,Average
Air,,75.12,-60.36,-15.67,52.54,-85.62,-44.80,61.92,26.25,1.17
,  Industrial,80.32,-58.60,-6.59,58.01,-78.25,-39.44,96.99,34.25,10.84
,  Inferior Irrigation,65.33,-66.40,-28.38,43.41,-95.60,-52.89,86.65,6.11,-5.22
,  Inorganic Fertilizers,68.48,-62.68,-21.87,47.55,-95.98,-49.58,89.60,21.04,-0.43
,  Solid Waste,83.80,-55.21,-3.51,62.16,-73.72,-37.91,-56.45,40.19,-5.08
,  Thermal,77.66,-58.91,-17.99,51.55,-84.56,-44.19,92.80,29.64,5.75
Soil,,72.21,-60.29,-19.17,50.43,-86.80,-45.00,90.94,23.54,3.23
,  Industrial,61.60,-67.28,-33.01,38.42,-96.58,-50.11,85.59,3.37,-7.25
,  Noise,76.10,-60.79,-19.58,49.12,-89.74,-44.99,89.46,26.09,3.21
,  Solid Waste,67.35,-64.03,-27.81,46.82,-93.97,-47.95,88.12,17.02,-1.81
,  Surface water,78.66,-56.30,-10.56,56.04,-80.72,-42.38,94.10,32.88,8.96
,  Urban Activities,77.33,-53.07,-4.91,61.73,-72.98,-39.59,97.45,38.32,13.03
Water,,73.50,-58.09,-13.54,54.54,-83.27,-42.26,51.55,29.74,1.52
,  Groundwater,78.40,-57.45,-14.33,55.04,-83.64,-42.68,85.03,30.80,6.40
,  Inferior Irrigation,77.84,-55.18,-5.09,58.79,-73.12,-39.01,97.50,38.08,12.48
,  Inorganic Fertilizers,78.32,-51.75,-1.18,63.87,-69.51,-35.13,-99.83,39.40,-9.48
,  Light,69.28,-61.51,-20.06,49.75,-94.25,-45.57,87.88,26.89,1.55
,  Urban Activities,63.65,-64.57,-27.04,45.24,-95.82,-48.92,87.18,13.55,-3.34
