Polluted element,Type of pollution,Massachusetts_Hastings_2022,Massachusetts_Lenox_2018,Minnesota_Cambridge_2016,Minnesota_Minneapolis_2015,Average
Air,,54.69,7.45,5.94,5.80,18.47
,  Chemical,76.29,29.91,-73.39,-31.12,0.42
,  Industrial,-38.07,-85.26,65.18,-1.02,-14.79
,  Inferior Irrigation,83.30,39.61,-67.57,-9.24,11.53
,  Inorganic Fertilizers,72.23,17.98,47.44,93.28,57.73
,  Noise,79.69,34.99,58.06,-22.91,37.46
Soil,,32.39,-24.47,-21.99,-17.44,-7.88
,  Groundwater,77.60,32.12,-72.45,-30.27,1.75
,  Industrial,74.96,25.89,53.48,-33.62,30.18
,  Inferior Irrigation,67.23,-0.96,46.91,-1.94,27.81
,  Solid Waste,-9.20,-86.62,-67.98,-6.42,-42.55
,  Thermal,-48.65,-92.78,-69.93,-14.97,-56.58
Water,,27.57,30.51,4.23,4.10,16.60
,  Inorganic Fertilizers,89.36,43.44,65.29,-3.25,48.71
,  Light,81.72,38.15,54.41,-10.24,41.01
,  Solid Waste,-56.32,7.06,-81.27,92.76,-9.44
,  Surface water,76.70,34.90,57.71,-26.03,35.82
,  Urban Activities,-53.59,29.00,-74.97,-32.76,-33.08
