Polluted element,Type of pollution,Illinois_Lenox_2017,Illinois_Springfield_2022,Massachusetts_Boston_2022,Massachusetts_Chicago_2016
Air,Chemical,92.62,-89.56,-3.50,-56.14
,Industrial,82.34,21.37,-22.49,-74.01
,Noise,89.32,36.12,-15.99,-63.29
,Oxygen-depletion,75.88,6.51,-31.97,-79.76
Soil,Inorganic Fertilizers,88.94,30.23,-16.90,65.34
,Light,91.93,38.22,-9.60,70.21
,Solid Waste,-46.80,21.00,-29.62,-76.90
,Surface water,-55.46,3.92,97.87,-81.13
Water,Chemical,73.86,2.89,-35.71,45.37
,Groundwater,-47.09,13.47,-29.04,51.34
,Thermal,90.17,36.09,-10.35,68.04
,Urban Activities,-42.16,28.14,-16.72,-73.98
