Polluted element,Type of pollution,Minnesota_Hastings,Minnesota_Portland,Oregon_Minneapolis,Oregon_Rochester,Oregon_Salem
Air,Chemical,92.63,42.34,-62.86,-9.89,26.54
,Solid Waste,-51.09,-95.63,54.50,-21.07,13.30
,Surface water,-39.64,40.16,-68.17,-18.48,17.90
,Thermal,71.50,-99.65,-81.84,-28.55,-0.75
Soil,Groundwater,89.87,41.78,60.79,-15.61,19.38
,Noise,75.13,-98.61,48.20,-26.47,3.18
,Thermal,-35.20,44.02,66.92,-2.65,27.54
,Urban Activities,-50.02,-93.93,57.87,-19.99,14.45
Water,Inorganic Fertilizers,84.27,36.52,-69.40,-18.52,16.41
,Light,76.77,31.03,-80.05,-24.60,4.25
,Noise,94.21,46.12,68.24,-1.99,27.90
,Oxygen-depletion,89.91,42.59,-64.95,-15.95,25.81
