Polluted element,Type of pollution,Maryland_Baltimore,Maryland_Detroit,Michigan_Columbia,Michigan_Flint,Michigan_Hastings,Minnesota_Aberdeen,Minnesota_Minneapolis,Average
Air,Industrial,-93.97,43.63,86.65,17.82,-20.15,63.05,-60.08,5.28
,Noise,-93.88,47.66,89.21,20.80,-12.21,70.57,-47.05,10.73
,Surface water,98.18,25.43,80.81,5.42,-28.41,55.40,-80.36,22.35
,Thermal,92.74,25.75,77.05,0.79,-36.11,48.85,-86.20,17.55
,Urban Activities,99.96,39.06,81.45,13.19,-24.94,55.21,-68.99,27.85
Soil,Groundwater,-87.48,48.08,85.26,24.81,-2.67,75.37,-41.08,14.61
,Inorganic Fertilizers,97.50,33.57,82.50,9.27,-28.92,57.72,-72.09,25.65
,Light,-91.31,46.27,85.91,20.10,-12.94,69.67,-57.65,8.58
,Noise,97.24,26.16,79.91,2.96,-28.75,54.12,-82.91,21.25
,Solid Waste,-95.52,39.62,85.16,14.61,-25.53,62.30,-62.90,2.53
Water,Groundwater,99.22,29.65,81.08,8.71,-27.31,56.91,-76.64,24.52
,Inferior Irrigation,99.06,39.53,79.52,14.68,-24.96,59.55,-68.74,28.38
,Light,93.43,26.79,78.66,2.63,-36.36,52.47,-83.78,19.12
,Surface water,-89.52,48.64,90.13,22.85,-5.13,71.83,-44.68,13.45
,Thermal,-92.35,45.45,87.03,19.94,-14.17,66.16,-60.61,7.35
Average,,8.89,37.69,83.36,13.24,-21.90,61.28,-66.25,16.61
