Polluted element,Type of pollution,Florida_Boston_2020,Florida_Fort Lauderdale_2016,Massachusetts_Lenox_2017,Massachusetts_Tampa_2015
Air,Groundwater,-88.84,-30.61,27.64,-55.46
,Industrial,-76.73,-27.65,29.35,76.29
,Noise,39.68,90.84,1.92,64.67
,Urban Activities,56.85,-14.64,-90.33,86.05
Soil,Chemical,50.81,-28.74,-98.68,76.55
,Light,-86.87,95.85,11.67,70.28
,Solid Waste,54.34,-3.09,-91.02,-44.58
,Thermal,-64.20,-3.85,-88.96,-40.44
Water,Inorganic Fertilizers,-75.59,-22.81,31.17,-48.26
,Noise,59.54,-7.37,38.19,87.33
,Surface water,-82.59,-29.48,-99.63,-54.03
,Thermal,42.13,-37.04,7.99,-62.39
