Polluted element,Type of pollution,California_Cambridge_2018,California_Hastings_2017,Massachusetts_Boston_2017,Massachusetts_San Francisco_2018,Minnesota_Malibu_2017,Minnesota_Minneapolis_2018
Air,Industrial,88.56,-25.25,28.89,-66.06,-89.42,-7.84
,Noise,67.95,-38.37,7.63,-72.66,-98.70,-17.10
,Solid Waste,71.28,-30.94,11.25,-69.15,-95.95,-15.25
,Surface water,74.48,-36.09,22.93,-72.04,5.63,-12.63
Soil,Chemical,76.26,-33.15,27.78,-68.72,5.90,-10.05
,Inorganic Fertilizers,89.88,-24.00,36.50,-65.27,-87.54,-6.16
,Thermal,68.55,-37.33,9.91,-71.83,-95.04,-20.89
,Urban Activities,84.92,-29.48,13.21,-71.82,-92.39,-11.02
Water,Groundwater,74.07,-38.45,19.73,-72.40,4.63,-11.99
,Inferior Irrigation,86.95,-28.18,26.91,-67.04,-92.87,-8.19
,Light,66.41,-34.68,9.39,-70.61,-94.82,-16.15
,Oxygen-depletion,66.05,-41.87,6.01,-76.08,-0.92,-16.39
Average,,76.28,-33.15,18.34,-70.31,-60.96,-12.81
