Polluted element,Type of pollution,Maryland_Baltimore_2017,Maryland_Portland_2018,Oregon_Columbia_2015,Oregon_Redmond_2021
Air,Chemical,33.00,88.84,64.15,-2.22
,Groundwater,15.50,-58.16,41.92,-34.81
,Noise,28.50,81.66,44.20,-24.04
,Solid Waste,33.78,-9.50,-76.91,-10.69
Soil,Groundwater,38.09,91.07,68.81,-1.38
,Inorganic Fertilizers,-94.92,87.73,-73.06,-9.14
,Oxygen-depletion,16.94,75.52,41.19,-33.95
,Thermal,30.12,83.24,44.42,-24.89
Water,Chemical,5.24,-59.05,39.80,92.58
,Industrial,-94.82,-40.45,-68.44,-7.23
,Surface water,18.07,-50.59,42.93,98.94
,Urban Activities,32.39,-44.11,48.98,-11.74
Average,,5.16,20.52,18.17,2.62
