Polluted element,Type of pollution,Nevada_Boulder City,Nevada_Redmond,Oregon_Las Vegas,Oregon_Reno,Oregon_Salem
Air,Groundwater,-52.17,41.43,-28.53,61.42,25.62
,Light,-55.03,-91.59,-37.89,-72.75,15.55
,Urban Activities,10.91,-24.24,38.55,-8.80,-48.23
Soil,Inorganic Fertilizers,-56.20,-28.38,-27.27,-7.75,15.46
,Oxygen-depletion,75.62,-87.40,-29.87,-70.14,23.88
,Thermal,-56.54,-94.80,-37.69,-73.96,8.12
Water,Chemical,-55.16,-86.39,-27.82,-66.82,26.94
,Industrial,-52.97,-24.44,-25.20,-70.83,-45.90
,Surface water,-54.55,37.05,-35.22,-71.37,15.94
Average,,-32.90,-39.86,-23.44,-42.33,4.15
