Polluted element,Type of pollution,California_Detroit_2017,California_Malibu_2016,Michigan_Flint_2016,Michigan_San Francisco_2020,Average
Air,Groundwater,65.20,-28.45,41.35,82.93,40.26
,Inorganic Fertilizers,-72.44,-36.53,36.12,78.05,1.30
,Light,51.49,88.25,28.57,-60.59,26.93
,Oxygen-depletion,47.00,83.11,19.60,-60.98,22.18
Soil,Chemical,-81.33,-42.36,24.90,-60.40,-39.80
,Oxygen-depletion,-62.03,-11.09,41.44,84.18,13.12
,Solid Waste,56.04,-33.35,37.99,79.73,35.10
,Thermal,-75.31,-38.19,-99.77,-56.99,-67.56
Water,Groundwater,-84.82,85.18,1.25,67.01,17.16
,Industrial,53.24,-38.77,35.29,-52.37,-0.65
,Surface water,50.96,-40.59,27.19,70.15,26.93
,Urban Activities,-66.60,99.08,39.27,82.52,38.57
