Polluted element,Type of pollution,Florida_Fort Lauderdale_2015,Florida_Redmond_2022,Florida_Reno_2020,Nevada_Boulder City_2022,Nevada_Salem_2021,Oregon_Las Vegas_2021,Oregon_Portland_2015,Oregon_Tampa_2020,Average
Air,Industrial,-88.99,34.14,-20.58,-68.56,70.24,-48.97,1.15,92.46,-3.64
,Inferior Irrigation,-70.01,57.83,-5.31,-50.08,90.96,-25.64,28.12,-91.72,-8.23
,Oxygen-depletion,-76.37,49.85,-14.08,-54.06,83.16,-31.43,15.61,-95.24,-15.32
,Thermal,-79.18,42.73,-17.91,-68.93,76.70,-8.96,5.84,96.40,5.84
Soil,Groundwater,-76.70,48.66,-17.28,-56.01,81.71,-32.88,4.27,-98.35,-18.32
,Inferior Irrigation,-88.30,28.03,-22.39,-69.15,65.64,-47.57,-0.96,91.36,-5.42
,Light,-85.58,40.20,-19.18,-65.71,75.44,-41.24,4.35,94.04,0.29
,Surface water,-72.84,56.58,-6.22,-51.38,88.87,-27.09,26.09,-94.68,-10.08
Water,Chemical,-76.89,53.18,-8.65,-53.32,85.90,-31.78,23.65,-94.80,-12.84
,Industrial,-69.29,59.64,-3.63,-48.24,90.88,-24.38,29.40,-91.66,-7.16
,Noise,-79.44,44.60,-16.72,-59.28,79.32,-34.95,6.56,98.08,4.77
,Solid Waste,-85.99,35.92,-19.43,-67.83,73.62,-44.59,2.38,93.95,-1.50
Average,,-79.13,45.95,-14.28,-59.38,80.20,-33.29,12.21,-0.01,-5.97
