Category,Item,Import_2016,Import_2020,Import_2022,Average
Cereals,,635.29,667.15,353.82,552.09
,  Camel,812.44,594.98,704.12,703.85
,  Milk,806.19,585.57,185.72,525.83
,  Seeds,287.24,820.89,171.62,426.58
Dairy,,638.71,415.00,615.01,556.24
,  Pork,422.11,202.87,636.29,420.42
,  Seeds,945.30,212.66,459.83,539.26
,  Soybeans,548.72,829.47,748.90,709.03
Meat,,598.51,633.67,512.35,581.51
,  Cheese,933.68,452.46,628.88,671.67
,  Lamb,428.78,721.90,575.46,575.38
,  Soybeans,433.08,726.65,332.70,497.48
