Category,Item,Export_2017,Export_2021,Export_2022,Average
Beverage,,875.26,404.25,425.90,568.47
,  Beef,956.46,437.00,284.15,559.21
,  Tea,967.73,522.68,306.39,598.93
,  Wheat,701.58,253.06,687.16,547.27
Cereals,,404.18,164.93,508.23,359.11
,  Coffee,195.56,328.76,431.18,318.50
,  Pork,315.56,107.42,795.88,406.29
,  Rice,701.41,58.59,297.63,352.55
Meat,,441.82,714.88,677.88,611.53
,  Duck,563.77,874.15,666.95,701.62
,  Juice,572.47,766.11,688.41,675.66
,  Soybeans,189.22,504.39,678.29,457.30
Average,,573.75,428.02,537.34,513.04
,  ,573.75,428.02,537.34,513.04
