Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2016,Cereals,Rice,131.12
Import,2016,Meat,Wheat,274.39
Import,2016,Cereals,Seeds,285.53
Import,2016,Meat,Chicken,413.7
Import,2016,Cereals,Duck,161.65
Import,2016,Meat,Rice,548.22
Import,2017,Cereals,Rice,552.29
Import,2017,Meat,Wheat,301.94
Import,2017,Cereals,Seeds,946.39
Import,2017,Meat,Chicken,54.32
Import,2017,Cereals,Duck,442.37
Import,2017,Meat,Rice,827.16
Import,2015,Cereals,Rice,830.04
Import,2015,Meat,Wheat,578.17
Import,2015,Cereals,Seeds,71.36
Import,2015,Meat,Chicken,85.57
Import,2015,Cereals,Duck,991.07
Import,2015,Meat,Rice,997.23
Import,2016,Cereals,Rice,103.2
Import,2016,Meat,Wheat,106.25
Import,2016,Cereals,Seeds,109.02
Import,2016,Meat,Chicken,879.02
Import,2016,Cereals,Duck,242.42
Import,2016,Meat,Rice,370.64
