Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2019,Q4,Beverage,Coffee,647.31
Export,2019,Q4,Dairy,Juice,264.38
Export,2019,Q4,Beverage,Milk,906.49
Export,2019,Q4,Dairy,Butter,780.79
Export,2019,Q4,Beverage,Yoghurt,780.68
Export,2019,Q4,Dairy,Coffee,404.47
Export,2021,Q4,Beverage,Coffee,410.28
Export,2021,Q4,Dairy,Juice,32.41
Export,2021,Q4,Beverage,Milk,160.53
Export,2021,Q4,Dairy,Butter,290.31
Export,2021,Q4,Beverage,Yoghurt,675.83
Export,2021,Q4,Dairy,Coffee,806.87
Export,2018,Q4,Beverage,Coffee,171.3
Export,2018,Q4,Dairy,Juice,180.38
Export,2018,Q4,Beverage,Milk,61.77
Export,2018,Q4,Dairy,Butter,830.61
Export,2018,Q4,Beverage,Yoghurt,451.46
Export,2018,Q4,Dairy,Coffee,69.36
Export,2019,Q4,Beverage,Coffee,968.67
Export,2019,Q4,Dairy,Juice,591.8
Export,2019,Q4,Beverage,Milk,721.03
Export,2019,Q4,Dairy,Butter,595.99
Export,2019,Q4,Beverage,Yoghurt,596.53
Export,2019,Q4,Dairy,Coffee,724.57
Export,2021,Q4,Beverage,Coffee,90.8
Export,2021,Q4,Dairy,Juice,860.29
Export,2021,Q4,Beverage,Milk,612.67
Export,2021,Q4,Dairy,Butter,745.81
Export,2021,Q4,Beverage,Yoghurt,106.0
Export,2021,Q4,Dairy,Coffee,877.03
