Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2021,Q3,Traffic,Slight,32.15
Female,2021,Q3,Fire,Serious,33.09
Female,2021,Q3,Drowning,Fatal,66.82
Female,2020,Q2,Traffic,Slight,69.52
Female,2020,Q2,Fire,Serious,11.02
Female,2020,Q2,Drowning,Fatal,43.8
Female,2016,Q3,Traffic,Slight,15.85
Female,2016,Q3,Fire,Serious,47.55
Female,2016,Q3,Drowning,Fatal,49.52
Female,2021,Q2,Traffic,Slight,17.4
Female,2021,Q2,Fire,Serious,83.81
Female,2021,Q2,Drowning,Fatal,20.45
Female,2020,Q3,Traffic,Slight,56.52
Female,2020,Q3,Fire,Serious,62.85
Female,2020,Q3,Drowning,Fatal,26.29
Female,2016,Q2,Traffic,Slight,28.73
Female,2016,Q2,Fire,Serious,93.74
Female,2016,Q2,Drowning,Fatal,62.34
