Quarter,Month,Culture_Factory,Culture_Hotel,Production_Museum,Production_Workshop,Residential_House,Residential_Theatre,Minimum
Q1,June,22.22,71.87,62.86,3.51,90.29,52.72,3.51
,March,21.19,68.58,59.52,0.34,86.81,40.07,0.34
,October,36.14,79.76,57.70,15.79,94.60,55.23,15.79
Q2,December,38.03,80.90,66.62,17.73,98.41,55.11,17.73
,January,22.53,68.31,56.66,0.19,87.60,46.97,0.19
,May,26.80,73.54,63.76,7.56,91.45,53.56,7.56
Q4,February,23.39,71.73,61.25,2.33,88.57,51.39,2.33
,March,39.68,83.31,67.11,16.65,98.34,58.87,16.65
,November,35.77,75.61,64.72,15.91,93.56,55.25,15.91
Minimum,,21.19,68.31,56.66,0.19,86.81,40.07,0.19
