Quarter,Month,Production_Apartment,Production_Hospital,Residential_House,Residential_Workshop,Service_Administration,Service_Factory
Q1,August,72.55,26.78,94.04,50.78,8.44,62.46
,December,80.27,34.12,97.24,50.10,14.78,67.14
,February,71.64,17.63,88.91,36.27,0.61,57.70
Q3,February,84.97,34.29,97.23,54.03,15.59,68.38
,July,77.92,30.18,94.62,51.11,8.45,63.73
,March,71.24,18.39,88.23,34.27,4.33,58.42
Q4,March,85.08,36.08,99.57,55.15,14.68,70.00
,October,80.04,30.67,95.64,52.57,12.51,64.52
,September,71.96,22.49,91.24,40.81,4.53,59.66
Minimum,,71.24,17.63,88.23,34.27,0.61,57.70
