Quarter,Month,State,City,Production_Factory,Production_School,Service_Hospital,Service_Library,Service_Workshop
Q1,April,Georgia,Washington,76.15,33.83,58.93,9.64,94.64
,December,Georgia,Washington,83.57,44.15,62.82,17.50,97.07
,November,Georgia,Washington,70.40,29.50,51.95,2.59,88.91
Q2,June,Georgia,Washington,75.19,31.40,57.18,3.57,90.99
,March,Georgia,Washington,79.71,43.85,62.49,16.38,96.83
,October,Georgia,Washington,67.93,23.38,51.34,1.55,87.52
Q4,December,Georgia,Washington,61.38,19.32,46.08,0.75,84.30
,January,Georgia,Washington,77.17,35.21,61.07,14.40,94.76
,May,Georgia,Washington,74.15,30.31,55.08,2.17,87.34
Minimum,,,,61.38,19.32,46.08,0.75,84.30
